,Open,Open,Open,Open,Open,High,High,High,High,High,Low,Low,Low,Low,Low,Close,Close,Close,Close,Close,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMZN,GOOGL,META,NFLX,AAPL,AMZN,GOOGL,META,NFLX,AAPL,AMZN,GOOGL,META,NFLX,AAPL,AMZN,GOOGL,META,NFLX,AAPL,AMZN,GOOGL,META,NFLX
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-02,39.98636059756084,58.599998474121094,52.40047527349359,176.84652328015753,196.10000610351562,40.48924485609061,59.5,53.543011638081616,180.72823809500116,201.64999389648438,39.77486500606255,58.5255012512207,52.40047527349359,176.7171434173781,195.4199981689453,40.47984313964844,59.45050048828125,53.40517044067383,180.56898498535156,201.07000732421875,102223600,53890000,31766000,18151900,10966900
2018-01-03,40.54329210948591,59.415000915527344,53.44099822988506,181.02682054221148,202.0500030517578,41.01797838932272,60.27450180053711,54.54422515222374,183.91321080270566,206.2100067138672,40.409348128889434,59.415000915527344,53.41611946372523,180.47939751012842,201.5,40.47279357910156,60.209999084472656,54.316314697265625,183.80372619628906,205.0500030517578,118071600,62176000,31318000,16886600,8591400
2018-01-04,40.54562655211502,60.25,54.593490792046104,184.03266563864122,206.1999969482422,40.76417156123102,60.79349899291992,54.94132655368835,185.33653345238878,207.0500030517578,40.43753195097619,60.233001708984375,54.45266550573435,183.2364304256707,204.0,40.66077423095703,60.47949981689453,54.527305603027344,183.46534729003906,205.6300048828125,89738400,60442000,26052000,13880900,6029600
2018-01-05,40.75713026121259,60.8754997253418,54.90997919575,184.71941156087465,207.25,41.21066440433264,61.457000732421875,55.414069413897295,186.0232640472396,210.02000427246094,40.665483261086045,60.5,54.82787129109952,184.06250391230233,205.58999633789062,41.12371826171875,61.457000732421875,55.25035095214844,185.9735107421875,209.99000549316406,94640000,70894000,30250000,13574500,7033200
2018-01-08,40.970977783203125,61.79999923706055,55.285683421506725,186.32186910933495,210.02000427246094,41.267067287873886,62.65399932861328,55.69174303354117,188.01389162023398,212.5,40.872277695942245,61.60150146484375,55.235922088844056,185.4559550121505,208.44000244140625,40.970977783203125,62.34349822998047,55.44541931152344,187.3968048095703,212.0500030517578,82271200,85590000,24644000,17994700,5580200
2018-01-09,41.017980576861206,62.845001220703125,55.65591288308646,187.81481683948036,212.11000061035156,41.13782557491314,62.96649932861328,55.65591288308646,187.91435382049985,212.97999572753906,40.750089015677055,62.0880012512207,55.14634804825195,186.22233145364547,208.58999633789062,40.96628189086914,62.6349983215332,55.374755859375,186.98870849609375,209.30999755859375,86336000,73226000,26808000,12393100,6125900
2018-01-10,40.69133175288106,62.25749969482422,55.08663494541198,186.06309016750532,207.57000732421875,40.9592232542741,62.71649932861328,55.374261298283166,187.00863079835582,213.63999938964844,40.65373206496888,61.86149978637695,54.93635625051098,184.75923764433958,206.91000366210938,40.956871032714844,62.71649932861328,55.242889404296875,186.9588623046875,212.52000427246094,95839600,53720000,20734000,10529900,5951500
2018-01-11,41.02737624645928,62.98699951171875,55.35087121590882,187.51624037848472,214.2899932861328,41.238871836202,63.8385009765625,55.47726582994094,187.51624037848472,217.75,41.00387912695732,62.823001861572266,55.060758142760186,186.50103596623725,213.35000610351562,41.18952178955078,63.83399963378906,55.33793258666992,186.8892059326172,217.24000549316406,74670800,62500000,22424000,9588600,7659500
